ds,y,NH Budget,CLIENT FORCAST S1,Production Calendar,Customer Calendar,Customer Consumption Last 12 week,Stock Plant : TIC Tool,HC DIRECT,HC INDIRECT,ABS P,ABS NP,FLUCTUATION
2022-01-05,32393.36703333335,27118.29658744939,26752.6392,4.2,2.0,4349732.236,1355818.0,1073,137,0.1138301652892562,0.04850805785123969,0.0
2022-01-12,34340.39773333335,28748.26472052851,36147.2821,4.2,4.55,3358129.319,1064038.0,1053,137,0.1124483193277311,0.03635651260504202,0.02459016393442623
2022-01-19,29601.83931666666,24781.35283983727,35250.44002,4.2,5.05,3798997.02,1064660.0,1065,137,0.1301844841930117,0.04141680532445923,0.005789909015715467
2022-01-26,35998.42531425826,30136.29220292716,34308.18502,4.2,5.05,4224592.946,1143409.0,1063,137,0.08044916666666663,0.04373625,0.008264462809917356
2022-02-02,27731.70048333333,27715.77281873128,37059.85967,4.2,5.05,4188380.794,1197153.0,1051,137,0.1086969696969697,0.04573021885521885,0.01246882793017456
2022-02-09,32573.16670000001,32554.45834583557,38641.33748,5.5,5.0,3922711.285,1165991.0,1046,136,0.08700909475465304,0.04542787648054147,0.006722689075630253
2022-02-16,30873.95100000001,30856.21858807079,40199.58483,4.2,4.7,4282514.951,1328606.0,1071,136,0.1365927873779113,0.03464519158527422,0.0
2022-02-23,33583.73900508549,33564.45023008673,34194.2799,3.9,5.05,4341605.543,1400365.0,1110,135,0.163559437751004,0.04606425702811243,0.004796163069544364
2022-03-02,14437.17468333333,20046.68285122056,32235.11442,5.0,5.05,4911758.638,1436534.0,1107,135,0.4051996779388084,0.04577395330112722,0.004807692307692308
2022-03-09,17344.90893333333,24084.20595417739,34665.07922,2.3,5.0,5190706.052,1595260.0,1102,135,0.4474498787388842,0.03159498787388844,0.0032232070910556
2022-03-16,24661.5404,34243.68616887979,34010.94047,3.9,5.05,5155014.054,1614800.0,1104,135,0.2776301452784504,0.03684322033898306,0.0
2022-03-23,26400.63335,36658.49693221358,34395.02055,4.2,5.0,5541245.115,1714488.0,1101,134,0.2174463562753038,0.03931396761133603,0.004032258064516129
2022-03-30,17788.89228333336,24700.69731096258,46951.0733,3.9,4.4,7120694.086,1702929.0,1095,134,0.2258588283157038,0.04203559804719285,0.004858299595141701
2022-04-06,41873.99296666667,41833.5774345536,29100.828,5.25,4.4,6011098.003,1652264.0,1092,133,0.06113612244897963,0.04539265306122447,0.006488240064882401
2022-04-13,30189.6191,30160.48097789187,20586.4806,3.8,5.0,6109817.332,1873203.0,1083,131,0.1403420510708403,0.03851276771004943,0.005733005733005733
2022-04-20,26145.69173333333,26120.45668959847,23102.74723,0.0,5.0,6095902.617,2067655.0,1080,130,0.1549935950413221,0.04638946280991736,0.00165016501650165
2022-04-27,16307.33636605543,16291.59701019544,51963.3264,0.0,4.8,5775320.364,1964832.0,1082,138,0.501320081967213,0.03036639344262294,0.002452984464431725
2022-05-04,10153.39151666667,14087.57075036095,25366.17578,5.0,4.95,5522371.854,1632293.0,1082,138,0.2972334016393443,0.02896188524590164,0.000819000819000819
2022-05-11,25794.22444999999,35788.82595963967,24329.70805,5.0,3.45,4943998.157,1229934.0,1076,138,0.1525617792421746,0.04108875617792421,0.004918032786885246
2022-05-18,23050.78506666667,31982.37406141494,24286.99847,5.0,4.05,4951224.382,1430594.0,1069,138,0.2028227009113506,0.05064229494614749,0.007401315789473684
2022-05-25,36881.36946887778,51171.95578542915,18591.48217,5.0,2.05,4900963.57,1417639.0,1062,139,0.2053751040799334,0.04446024146544545,0.005794701986754967
2022-06-01,13758.85035,12035.27261935771,50068.09983,5.1,2.8,5113524.627,1564114.0,1058,135,0.2123937552388934,0.04065905280804694,0.005833333333333334
2022-06-08,27469.80935,24028.65326091955,22467.6901,5.1,4.51,5367194.773,1509391.0,1046,135,0.1307595258255714,0.04962150719729043,0.005892255892255892
2022-06-15,27558.68366666666,24106.39424964557,19215.68492,5.25,4.91,4942148.103,1056668.0,1036,136,0.1015616467576792,0.04116040955631399,0.007620660457239628
2022-06-22,27812.28359999999,24328.22559865196,25479.82508,5.25,5.01,4838724.984,1570821.0,1036,136,0.06734854948805453,0.04525682593856655,0.003401360544217687
2022-06-29,22389.96836666662,19585.16637486563,20375.46575,5.25,4.6,4788251.386,1514581.0,1036,135,0.09454654141759186,0.05803608027327069,0.0008532423208191126
2022-07-06,25040.39,33193.07141978462,9896.4001,5.25,4.55,4928758.092,1581197.0,1033,134,0.332333333333333,0.04981019708654669,0.005115089514066497
